Variable,Use
hist24_dpd30_streak_max,Y
hist24_dpd30_streak_mean,Y
hist24_dpd30_streak_min,Y
hist24_dpd30_streak_std,Y
hist24_dpd30_streak_sum,Y
hist24_dpd60_streak_max,Y
hist24_dpd60_streak_mean,Y
hist24_dpd60_streak_min,Y
hist24_dpd60_streak_std,Y
hist24_dpd60_streak_sum,Y
hist24_dpd90_count_max,Y
hist24_dpd90_count_mean,Y
hist24_dpd90_count_min,Y
hist24_dpd90_count_std,Y
hist24_dpd90_count_sum,Y
hist24_dpd90_streak_max,Y
hist24_dpd90_streak_mean,Y
hist24_dpd90_streak_min,Y
hist24_dpd90_streak_std,Y
hist24_dpd90_streak_sum,Y
hist24_dpd_streak_max,Y
hist24_dpd_streak_mean,Y
hist24_dpd_streak_min,Y
hist24_dpd_streak_std,Y
hist24_dpd_streak_sum,Y
hist24_kol5_count_max,Y
hist24_kol5_count_mean,Y
hist24_kol5_count_min,Y
hist24_kol5_count_std,Y
hist24_kol5_count_sum,Y
hist24_kol5_streak_max,Y
hist24_kol5_streak_mean,Y
hist24_kol5_streak_min,Y
hist24_kol5_streak_std,Y
hist24_kol5_streak_sum,Y
hist24_kol_ge2_count_max,Y
hist24_kol_ge2_count_mean,Y
hist24_kol_ge2_count_min,Y
hist24_kol_ge2_count_std,Y
hist24_kol_ge2_count_sum,Y
hist24_kol_ge2_streak_max,Y
hist24_kol_ge2_streak_mean,Y
hist24_kol_ge2_streak_min,Y
hist24_kol_ge2_streak_std,Y
hist24_kol_ge2_streak_sum,Y
hist24_kol_ge3_count_max,Y
hist24_kol_ge3_count_mean,Y
hist24_kol_ge3_count_min,Y
hist24_kol_ge3_count_std,Y
hist24_kol_ge3_count_sum,Y
hist24_kol_ge3_streak_max,Y
hist24_kol_ge3_streak_mean,Y
hist24_kol_ge3_streak_min,Y
hist24_kol_ge3_streak_std,Y
hist24_kol_ge3_streak_sum,Y
hist24_kol_ge4_streak_max,Y
hist24_kol_ge4_streak_mean,Y
hist24_kol_ge4_streak_min,Y
hist24_kol_ge4_streak_std,Y
hist24_kol_ge4_streak_sum,Y
hist3_dpd120_streak_max,Y
hist3_dpd120_streak_mean,Y
hist3_dpd120_streak_min,Y
hist3_dpd120_streak_std,Y
hist3_dpd120_streak_sum,Y
hist3_dpd180_streak_max,Y
hist3_dpd180_streak_mean,Y
hist3_dpd180_streak_min,Y
hist3_dpd180_streak_std,Y
hist3_dpd180_streak_sum,Y
hist3_dpd30_streak_max,Y
hist3_dpd30_streak_mean,Y
hist3_dpd30_streak_min,Y
hist3_dpd30_streak_std,Y
hist3_dpd30_streak_sum,Y
hist3_dpd60_streak_max,Y
hist3_dpd60_streak_mean,Y
hist3_dpd60_streak_min,Y
hist3_dpd60_streak_std,Y
hist3_dpd60_streak_sum,Y
hist3_dpd90_streak_max,Y
hist3_dpd90_streak_mean,Y
hist3_dpd90_streak_min,Y
hist3_dpd90_streak_std,Y
hist3_dpd90_streak_sum,Y
hist3_dpd_streak_max,Y
hist3_dpd_streak_mean,Y
hist3_dpd_streak_min,Y
hist3_dpd_streak_std,Y
hist3_dpd_streak_sum,Y
hist3_kol5_streak_max,Y
hist3_kol5_streak_mean,Y
hist3_kol5_streak_min,Y
hist3_kol5_streak_std,Y
hist3_kol5_streak_sum,Y
hist3_kol_ge2_streak_max,Y
hist3_kol_ge2_streak_mean,Y
hist3_kol_ge2_streak_min,Y
hist3_kol_ge2_streak_std,Y
hist3_kol_ge2_streak_sum,Y
hist3_kol_ge3_streak_max,Y
hist3_kol_ge3_streak_mean,Y
hist3_kol_ge3_streak_min,Y
hist3_kol_ge3_streak_std,Y
hist3_kol_ge3_streak_sum,Y
hist3_kol_ge4_streak_max,Y
hist3_kol_ge4_streak_mean,Y
hist3_kol_ge4_streak_min,Y
hist3_kol_ge4_streak_std,Y
hist3_kol_ge4_streak_sum,Y
hist6_dpd120_streak_max,Y
hist6_dpd120_streak_mean,Y
hist6_dpd120_streak_min,Y
hist6_dpd120_streak_std,Y
hist6_dpd120_streak_sum,Y
hist6_dpd180_streak_max,Y
hist6_dpd180_streak_mean,Y
hist6_dpd180_streak_min,Y
hist6_dpd180_streak_std,Y
hist6_dpd180_streak_sum,Y
hist6_dpd30_count_max,Y
hist6_dpd30_count_mean,Y
hist6_dpd30_count_min,Y
hist6_dpd30_count_std,Y
hist6_dpd30_count_sum,Y
hist6_dpd30_streak_max,Y
hist6_dpd30_streak_mean,Y
hist6_dpd30_streak_min,Y
hist6_dpd30_streak_std,Y
hist6_dpd30_streak_sum,Y
hist6_dpd60_streak_max,Y
hist6_dpd60_streak_mean,Y
hist6_dpd60_streak_min,Y
hist6_dpd60_streak_std,Y
hist6_dpd60_streak_sum,Y
hist6_dpd90_count_max,Y
hist6_dpd90_count_mean,Y
hist6_dpd90_count_min,Y
hist6_dpd90_count_std,Y
hist6_dpd90_count_sum,Y
hist6_dpd90_streak_max,Y
hist6_dpd90_streak_mean,Y
hist6_dpd90_streak_min,Y
hist6_dpd90_streak_std,Y
hist6_dpd90_streak_sum,Y
hist6_dpd_streak_max,Y
hist6_dpd_streak_mean,Y
hist6_dpd_streak_min,Y
hist6_dpd_streak_std,Y
hist6_dpd_streak_sum,Y
hist6_kol5_count_max,Y
hist6_kol5_count_mean,Y
hist6_kol5_count_min,Y
hist6_kol5_count_std,Y
hist6_kol5_count_sum,Y
hist6_kol5_streak_max,Y
hist6_kol5_streak_mean,Y
hist6_kol5_streak_min,Y
hist6_kol5_streak_std,Y
hist6_kol5_streak_sum,Y
hist6_kol_ge2_count_max,Y
hist6_kol_ge2_count_mean,Y
hist6_kol_ge2_count_min,Y
hist6_kol_ge2_count_std,Y
hist6_kol_ge2_count_sum,Y
hist6_kol_ge2_streak_max,Y
